id,createdTime,NAME,PHYLUM,SUBPHYLUM,CLASS,ORDER,SUBORDER,FAMILY,GENUS,POPU-SIZE,LIFESPAN(Y),TOPSPEED(KM/H),WEIGHT(KG),LENGTH(CM),HEIGHT(CM),ACTIVITY-PERIOD,REPRODUCTION,LIFESTYLE,SOCIAL,DOMESTICATED,TYPE,KINGDOM,EUROPE,ASIA,OCEANIA,SOUTH-AMERICA,NORTH-AMERICA,ANTARCTICA,AFRICA,POPU-STATUS,POPU-TREND,MATING-BEHAVIOR,REPRODUCTION-SEASON,PREGNANCY-DURATION(M),BABY-CARRYING(M),INDEPENDENT-AGE(M),FOREST,DUNES,RIVERS,MARINE,REEF,SEMI-DESERT,STEPPE,FRESHWATTER,ABYSSAL-ZONE,ICECAP,WETLANDS,MARSH,LAKES,COASTAL,CHAPARRAL,SHRUBLAND,RAINFOREST,INTERTIDAL-ZONE,URBAN,BENTHIC,ROCKY-AREAS,GRASSLAND,SAVANNA,MOUNTAINS,RIPARIAN,NERITIC-ZONE,ANTROPHOGENIC,ESTUARIES,OCEANIC-PELAGIC-ZONE,CAVES,AGRICULTURAL,ARID,COLD,TEMPERATE,POLAR,TROPICAL,POISONOUS
recTkkKgapWnBWV0u,2023-11-04T18:51:21.000Z,Dent's horseshoe bat,Chordata,Vertebrata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,,,,,6.0,5.0,,['Nocturnal'],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Least concern (LC),,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
recTv7Bou1TxapB43,2023-11-04T18:50:58.000Z,Western small-footed bat,Chordata,Vertebrata,Mammalia,Chiroptera,Vespertilionidae,Myotinae,Myotis,37450.0,,,0.005849999841302633,87.0,,['Nocturnal'],,Not a migrant,,No domesticated,Terrestrial,Animalia,No,No,No,No,Yes,No,No,Least concern (LC),Stable,Polygynandry,,,,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No
recTvq3yIIIWMbIg9,2023-11-04T18:49:22.000Z,Cross River gorilla,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Simiiformes,Hominidae,,35.0,,,,,[nan],,Not a migrant,,No domesticated,Terrestrial,Animalia,No,No,No,No,No,No,Yes,Critically endangered (CR),Decreasing,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,No
recTz7EcTdkCMPEhC,2023-11-04T18:49:12.000Z,Mongolian Gerbil,Chordata,Vertebrata,Mammalia,Rodentia,Muroidea,Muridae,Meriones,,2.5,,0.0949999988079071,122.5,,['Diurnal'],Viviparous,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,Yes,No,No,No,No,No,Least concern (LC),,Monogamy,February-October,0.800000011920929,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
recU3Ki1b9OrFYFAQ,2023-11-04T18:51:03.000Z,Collared titi,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Simiiformes,Pitheciidae,75569.3984375,,,1.2999999523162842,295.0,,"['Nocturnal', 'Diurnal']",,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,Yes,No,No,No,Least concern (LC),,Monogamy,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
recU4NWNCLBnAMObO,2023-11-04T18:50:30.000Z,Golden-Mantled Tree-Kangaroo,Chordata,Vertebrata,Mammalia,Marsupialia,Diprotodontia,Macropodidae,Dendrolagus,500.0,10.0,,6.599999904632568,,,[nan],,Not a migrant,,No domesticated,Terrestrial,Animalia,No,Yes,Yes,No,No,No,No,Critically endangered (CR),Stable,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
recU7tR1FbFVee0OE,2023-11-04T18:51:09.000Z,McIlhenny's four-eyed opossum,Chordata,Vertebrata,Mammalia,Marsupialia,Didelphimorphia,Didelphidae,Philander,32205.0,,,0.5180000066757202,297.0,,['Nocturnal'],,,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,Yes,No,No,No,Least concern (LC),,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
recU8BI8bLpM7mjIE,2023-11-04T18:51:04.000Z,Beach vole,Chordata,Vertebrata,Mammalia,Rodentia,Cricetidae,Arvicolinae,Microtus,410000.0,,,0.05400000140070915,190.0,,"['Nocturnal', 'Diurnal']",,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,No,No,Yes,No,No,Vulnerable (VU),Stable,Polygynandry,,0.699999988079071,,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
recUDEKNr2GgovNMU,2023-11-04T18:49:07.000Z,Markhor,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Caprinae,Capra,5754.0,11.5,17.0,71.0,159.0,90.0,['Diurnal'],Viviparous,,Social,No domesticated,Terrestrial,Animalia,No,Yes,No,No,No,No,No,Near Threatened (NT),Increasing,Polygyny,winter,5.099999904632568,1.5,6.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
recUN8mMF6KMuAlsA,2023-11-04T18:50:24.000Z,Bare-tailed woolly opossum,Chordata,Vertebrata,Mammalia,Marsupialia,Didelphimorphia,Didelphidae,Caluromys,2022.449951171875,,,0.26499998569488525,547.0,,['Nocturnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,No,No,Yes,Yes,No,No,Least concern (LC),Decreasing,,,0.800000011920929,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No
recUXaoSowSnMjo7v,2023-11-04T18:49:46.000Z,Squirrel Glider,Chordata,Vertebrata,Mammalia,Marsupialia,Diprotodontia,Petauridae,Petaurus,,4.5,,0.24500000476837158,20.5,,['Nocturnal'],,Not a migrant,Social,No domesticated,Terrestrial,Animalia,No,No,Yes,No,No,No,No,Least concern (LC),Decreasing,Polygyny,June-January,0.800000011920929,,3.8333332538604736,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No
recUXxHtK3feH0GVC,2023-11-04T18:50:33.000Z,Mainland serow,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Caprinae,Capricornis,,,,,,,['Diurnal'],,Not a migrant,Solitary,No domesticated,Terrestrial,Animalia,No,Yes,No,No,No,No,No,Vulnerable (VU),Decreasing,,,7.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
